21.04.2020 00:17:28: 0h 51min | John Vazquez(76561198172058511) | AdminConsole
21.04.2020 00:17:30: 0h 51min | John Vazquez(76561198172058511) | AdminConsole
21.04.2020 00:33:36: 1h 7min | John Vazquez(76561198172058511) | Self Disconnect
21.04.2020 01:55:26: 0h 4min | John Vazquez(76561198172058511) | SPECTATE - switchedCamera on HC1(HC5432) - HeadlessClient_F
21.04.2020 01:55:31: 0h 4min | John Vazquez(76561198172058511) | Teleport - Me To Target - HC1 [LOGIC](HC5432)
21.04.2020 01:55:31: 0h 4min | John Vazquez(76561198172058511) | Teleport - Me To Target - HC1 [LOGIC](HC5432)
21.04.2020 01:55:41: 0h 5min | John Vazquez(76561198172058511) | Teleport - Me To Target - HC1 [LOGIC](HC5432)
21.04.2020 01:55:42: 0h 5min | John Vazquez(76561198172058511) | Teleport - Me To Target - HC1 [LOGIC](HC5432)
21.04.2020 01:55:50: 0h 5min | John Vazquez(76561198172058511) | Kick (Announce) - HC1(HC5432)
21.04.2020 01:56:51: 0h 6min | John Vazquez(76561198172058511) | Self Disconnect
21.04.2020 02:10:57: 0h 20min | John Vazquez(76561198172058511) | AdminConsole
21.04.2020 02:12:17: 0h 21min | John Vazquez(76561198172058511) | AdminConsole
21.04.2020 02:14:31: 0h 23min | John Vazquez(76561198172058511) | AdminConsole
21.04.2020 02:21:50: 0h 31min | John Vazquez(76561198172058511) | AdminConsole
21.04.2020 02:22:01: 0h 31min | John Vazquez(76561198172058511) | AdminConsole
21.04.2020 02:22:13: 0h 31min | John Vazquez(76561198172058511) | AdminConsole
21.04.2020 02:22:37: 0h 32min | John Vazquez(76561198172058511) | AdminConsole
21.04.2020 02:24:18: 0h 33min | John Vazquez(76561198172058511) | Self Disconnect
21.04.2020 02:46:11: 0h 55min | John Vazquez(76561198172058511) | AdminConsole
21.04.2020 02:47:14: 0h 56min | John Vazquez(76561198172058511) | AdminConsole
21.04.2020 02:47:17: 0h 56min | John Vazquez(76561198172058511) | AdminConsole
21.04.2020 02:55:06: 1h 4min | John Vazquez(76561198172058511) | Self Disconnect
21.04.2020 02:55:38: 1h 5min | John Vazquez(76561198172058511) | AdminConsole
21.04.2020 02:55:39: 1h 5min | John Vazquez(76561198172058511) | AdminConsole
21.04.2020 02:56:20: 1h 5min | John Vazquez(76561198172058511) | AdminConsole
21.04.2020 02:56:57: 1h 6min | John Vazquez(76561198172058511) | Self Disconnect
21.04.2020 03:07:37: 0h 8min | John Vazquez(76561198172058511) | AdminConsole
21.04.2020 03:07:43: 0h 8min | John Vazquez(76561198172058511) | Self Disconnect
